node1,node2,distance(Km.)
 wonder world water park,konark temple,37
 wonder world water park,pipili,30
konark temple,puri bus stand,34
konark temple,Sri jagannath puri temple,36
konark temple,Puri beach,38
konark temple,Narendra tank,37
konark temple,sudarshan crafts museum,39
konark temple,gundicha temple,40
konark temple,raghurajpur artistic village,42
konark temple,markandeswar temple,38
konark temple,sakhi gopal temple,48
konark temple,lakshmi temple,37
konark temple,swargadwar beach,36
konark temple,vimala temple,37.5
konark temple,lokanath temple,38
konark temple,alarnatha temple,37
konark temple,baliharachandi beach,46
konark temple,mausima temple,36.5
konark temple, wonder world water park,37
konark temple,pipili,45
pipili,puri bus stand,37
pipili,Sri jagannath puri temple,39
pipili,Puri beach,40
pipili,Narendra tank,38
pipili,sudarshan crafts museum,42
pipili,gundicha temple,43
pipili,raghurajpur artistic village,46
pipili,markandeswar temple,40
pipili,sakhi gopal temple,21
pipili,lakshmi temple,38.5
pipili,swargadwar beach,38
pipili,vimala temple,38.5
pipili,lokanath temple,40
pipili,alarnatha temple,38.5
pipili,baliharachandi beach,48
pipili,mausima temple,38
pipili, wonder world water park,30
pipili,konark temple,45
