node1,node2,distance(Km.)
Odisha Maritime Museum,Anshupa Lake,45
Odisha Maritime Museum,Peacock Valley,17
Odisha Maritime Museum,Mahanadi (T) Bridge,11
Odisha Maritime Museum,State Botanical Garden,28
Odisha Maritime Museum,Maa Charchika Temple,45
Odisha Maritime Museum,Chaudwar,13
Deer Park,Netaji subash Ch. Busstand,6.6
Deer Park,Barabati Fort,1.3
Deer Park,Barabati Stadium,6.9
Deer Park,Maa Cuttack Chandi Temple,1.8
Deer Park,Netaji Birth Place Museum,6.9
Deer Park,Shree Singhanath Temple,65
Deer Park,Paradeep Sea Beach,98
Deer Park,Shree Dhabaleswar Temple,41
Deer Park,Odisha Maritime Museum,3.9
Deer Park,Deer Park,0
Deer Park,Baliyatra Ground,1.5
Deer Park,Anshupa Lake,41
Deer Park,Peacock Valley,13
Deer Park,Mahanadi (T) Bridge,12
Deer Park,State Botanical Garden,26
Deer Park,Maa Charchika Temple,47
Deer Park,Chaudwar,14
Baliyatra Ground,Netaji subash Ch. Busstand,6.4
Baliyatra Ground,Barabati Fort,1.5
Baliyatra Ground,Barabati Stadium,0.95
Baliyatra Ground,Maa Cuttack Chandi Temple,1.9
Baliyatra Ground,Netaji Birth Place Museum,5.2
Baliyatra Ground,Shree Singhanath Temple,66
Baliyatra Ground,Paradeep Sea Beach,97
Baliyatra Ground,Shree Dhabaleswar Temple,40
Baliyatra Ground,Odisha Maritime Museum,3.5
Baliyatra Ground,Deer Park,1.5
Baliyatra Ground,Baliyatra Ground,0
Baliyatra Ground,Anshupa Lake,44
Baliyatra Ground,Peacock Valley,16
Baliyatra Ground,Mahanadi (T) Bridge,11
Baliyatra Ground,State Botanical Garden,29
Baliyatra Ground,Maa Charchika Temple,46
Baliyatra Ground,Chaudwar,13
Anshupa Lake,Netaji subash Ch. Busstand,41.6
Anshupa Lake,Barabati Fort,42.9
Anshupa Lake,Barabati Stadium,42.7
Anshupa Lake,Maa Cuttack Chandi Temple,40.2
Anshupa Lake,Netaji Birth Place Museum,41.9
Anshupa Lake,Shree Singhanath Temple,35
Anshupa Lake,Paradeep Sea Beach,135
Anshupa Lake,Shree Dhabaleswar Temple,68
Anshupa Lake,Odisha Maritime Museum,45
Anshupa Lake,Deer Park,41
Anshupa Lake,Baliyatra Ground,44
Anshupa Lake,Anshupa Lake,0
Anshupa Lake,Peacock Valley,28
Anshupa Lake,Mahanadi (T) Bridge,51
Anshupa Lake,State Botanical Garden,52
Anshupa Lake,Maa Charchika Temple,66
Anshupa Lake,Chaudwar,46
Peacock Valley,Netaji subash Ch. Busstand,15.3
Peacock Valley,Barabati Fort,15.2
Peacock Valley,Barabati Stadium,15
Peacock Valley,Maa Cuttack Chandi Temple,13.6
Peacock Valley,Netaji Birth Place Museum,15.6
Peacock Valley,Shree Singhanath Temple,52
Peacock Valley,Paradeep Sea Beach,109
Peacock Valley,Shree Dhabaleswar Temple,44
Peacock Valley,Odisha Maritime Museum,17
Peacock Valley,Deer Park,13
Peacock Valley,Baliyatra Ground,16
Peacock Valley,Anshupa Lake,28
Peacock Valley,Peacock Valley,0
Peacock Valley,Mahanadi (T) Bridge,26
Peacock Valley,State Botanical Garden,28
Peacock Valley,Maa Charchika Temple,50
Peacock Valley,Chaudwar,24
Mahanadi (T) Bridge,Netaji subash Ch. Busstand,7
Mahanadi (T) Bridge,Barabati Fort,8.2
Mahanadi (T) Bridge,Barabati Stadium,7.5
Mahanadi (T) Bridge,Maa Cuttack Chandi Temple,8.6
Mahanadi (T) Bridge,Netaji Birth Place Museum,6.8
Mahanadi (T) Bridge,Shree Singhanath Temple,77
Mahanadi (T) Bridge,Paradeep Sea Beach,100
Mahanadi (T) Bridge,Shree Dhabaleswar Temple,43
Mahanadi (T) Bridge,Odisha Maritime Museum,11
Mahanadi (T) Bridge,Deer Park,12
Mahanadi (T) Bridge,Baliyatra Ground,11
